date,homeTeamWin,homeTeam,homeTeamConf,homeTeamDiv,homeTeamDaysOff,homeTeamTotalWinPercent,homeTeamConfWinPercent,homeTeamHomeWinPercent,homeTeamLastFive,homeTeamLastTen,awayTeam,awayTeamConf,awayTeamDiv,awayTeamDaysOff,awayTeamTotalWinPercent,awayTeamConfWinPercent,awayTeamAwayWinPercent,awayTeamLastFive,awayTeamLastTen
1485583200,0,MIL,East,Central,1,456,424,541,1,3,BOS,East,Atlantic,1,608,689,565,2,6
1481868000,1,HOU,West,Southwest,2,730,764,818,5,9,NO,West,Southwest,1,333,210,250,2,3
1485237600,0,PHO,West,Pacific,2,340,178,400,3,5,MIN,West,Northwest,2,363,321,285,3,5
1486965600,0,IND,East,Central,2,537,500,714,2,7,SA,West,Southwest,1,759,733,758,3,6
1488175200,0,NY,East,Atlantic,1,406,428,500,2,3,TOR,East,Atlantic,1,593,636,500,3,5
1488348000,0,TOR,East,Atlantic,2,600,647,677,4,6,WAS,East,Southeast,1,603,605,400,3,7
1490072400,0,MIN,West,Northwest,2,405,400,500,1,5,SA,West,Southwest,2,768,731,750,3,7
1490763600,1,LAC,West,Pacific,3,586,543,666,3,5,WAS,East,Southeast,1,621,617,485,4,6
1490936400,1,MEM,West,Southwest,2,546,574,611,1,5,DAL,West,Southwest,2,418,400,285,1,3
1477630800,0,DAL,West,Southwest,2,0,0,0,0,0,HOU,West,Southwest,1,0,0,0,0,0
1478671200,0,SA,West,Southwest,4,714,666,333,3,5,HOU,West,Southwest,2,571,666,500,3,4
1479448800,0,IND,East,Central,2,500,400,857,3,5,PHO,West,Pacific,1,250,200,142,1,3
1481349600,1,HOU,West,Southwest,1,695,733,750,5,8,DAL,West,Southwest,0,227,166,90,2,3
1488002400,0,SAC,West,Pacific,1,431,454,464,4,6,CHA,East,Southeast,1,421,444,285,0,1
1488520800,0,WAS,East,Southeast,1,610,615,757,3,7,TOR,East,Atlantic,1,590,628,517,4,6
1491109200,1,LAL,West,Pacific,1,276,239,351,1,1,MEM,West,Southwest,1,552,583,487,2,6
1491541200,1,PHO,West,Pacific,2,278,183,333,0,0,OKC,West,Northwest,2,576,562,447,3,6
1477630800,1,DET,East,Central,2,0,0,0,0,0,ORL,East,Southeast,2,0,0,0,0,0
1480658400,0,DEN,West,Northwest,2,388,454,333,2,4,HOU,West,Southwest,1,631,666,615,3,7
1480744800,1,DAL,West,Southwest,2,166,181,285,1,1,CHI,East,Central,1,611,666,545,3,7
1483336800,1,HOU,West,Southwest,2,742,760,812,4,8,WAS,East,Southeast,3,500,521,230,4,7
1488780000,1,DET,East,Central,2,483,472,612,3,6,CHI,East,Central,1,500,555,400,3,5
1489298400,1,BKN,East,Atlantic,1,171,81,225,1,2,NY,East,Atlantic,3,393,414,323,1,3
1478844000,0,OKC,West,Northwest,2,750,800,800,3,6,LAC,West,Pacific,1,875,857,1000,4,7
1479189600,1,CLE,East,Central,2,888,875,833,4,8,TOR,East,Atlantic,2,777,833,1000,4,7
1482904800,1,NO,West,Southwest,2,363,217,444,3,5,LAC,West,Pacific,1,666,714,687,2,6
1487138400,1,LAC,West,Pacific,2,618,628,680,3,5,ATL,East,Southeast,2,581,666,571,3,6
1487916000,0,LAC,West,Pacific,1,614,611,692,4,5,SA,West,Southwest,9,767,733,774,4,7
1488175200,0,SAC,West,Pacific,2,423,454,448,3,6,MIN,West,Northwest,2,389,352,307,3,4
1490418000,1,LAC,West,Pacific,1,589,545,676,3,5,UTA,West,Northwest,2,611,581,555,2,6
1481349600,1,IND,East,Central,0,478,416,666,2,5,POR,West,Northwest,1,500,500,384,3,5
1488261600,0,LAL,West,Pacific,2,316,250,444,1,3,CHA,East,Southeast,2,423,444,300,1,2
1489640400,1,DEN,West,Northwest,2,477,463,542,4,7,LAC,West,Pacific,0,588,560,527,2,5
1490590800,1,SA,West,Southwest,1,777,744,800,4,7,CLE,East,Central,2,652,720,527,2,5
1481868000,0,MEM,West,Southwest,2,666,785,733,4,7,SAC,West,Pacific,2,360,428,285,2,3
1482732000,1,DET,East,Central,3,437,421,533,0,3,CLE,East,Central,1,793,809,636,5,9
1483336800,1,GS,West,Pacific,3,852,826,875,4,9,DEN,West,Northwest,3,424,473,411,2,6
1485237600,0,ORL,East,Southeast,1,391,400,363,1,2,CHI,East,Central,2,488,517,363,3,5
1488952800,1,MIL,East,Central,2,467,463,515,3,7,NY,East,Atlantic,2,406,435,343,2,4
1477458000,1,LAL,West,Pacific,0,0,0,0,0,0,HOU,West,Southwest,0,0,0,0,0,0
1479448800,0,BOS,East,Atlantic,2,545,625,800,3,5,GS,West,Pacific,2,818,800,833,5,9
1482300000,0,DET,East,Central,1,466,421,615,1,4,MEM,West,Southwest,0,600,687,583,1,6
1482732000,1,MIN,West,Northwest,1,300,222,266,2,3,ATL,East,Southeast,2,500,611,500,3,5
1490504400,0,LAC,West,Pacific,1,594,555,685,4,6,SAC,West,Pacific,1,375,380,361,1,2
1491714000,0,SAC,West,Pacific,1,392,408,410,2,4,HOU,West,Southwest,1,670,693,615,2,6
1491973200,1,ORL,East,Southeast,2,345,372,375,1,2,DET,East,Central,2,456,411,325,2,3
1491973200,1,GS,West,Pacific,2,814,803,875,4,9,LAL,West,Pacific,1,320,313,225,5,6
1483423200,1,PHO,West,Pacific,0,285,125,400,1,2,MIA,East,Southeast,2,285,238,294,0,2
1486533600,0,IND,East,Central,2,568,551,769,5,7,CLE,East,Central,2,700,793,565,4,6
1487138400,0,BKN,East,Atlantic,2,163,85,233,0,0,MIL,East,Central,1,444,432,384,3,3
1487138400,1,UTA,West,Northwest,2,607,571,633,2,5,POR,West,Northwest,1,418,457,321,1,5
1488261600,1,OKC,West,Northwest,2,576,600,733,3,6,UTA,West,Northwest,2,627,583,607,3,7
1491368400,1,LAC,West,Pacific,4,602,562,684,4,7,DAL,West,Southwest,1,415,382,289,1,3
