date,homeTeamWin,homeTeam,homeTeamConf,homeTeamDiv,homeTeamDaysOff,homeTeamTotalWinPercent,homeTeamConfWinPercent,homeTeamHomeWinPercent,homeTeamLastFive,homeTeamLastTen,awayTeam,awayTeamConf,awayTeamDiv,awayTeamDaysOff,awayTeamTotalWinPercent,awayTeamConfWinPercent,awayTeamAwayWinPercent,awayTeamLastFive,awayTeamLastTen
1510293600,0,UTA,West,Northwest,3,454,555,714,2,4,MIA,East,Southeast,2,454,600,400,3,5
1510380000,1,UTA,West,Northwest,1,416,555,625,1,4,BKN,East,Atlantic,0,416,500,285,2,4
1517464800,1,DEN,West,Northwest,2,509,484,730,3,5,OKC,West,Northwest,2,588,535,440,4,8
1509426000,0,MIL,East,Central,2,666,600,500,3,4,OKC,West,Northwest,3,500,0,333,2,3
1515132000,0,MEM,West,Southwest,2,315,423,368,2,4,WAS,East,Southeast,2,578,550,473,4,7
1516428000,0,CLE,East,Central,1,613,666,761,1,3,OKC,West,Northwest,2,555,535,409,3,5
1517810400,1,DET,East,Central,2,490,454,615,3,3,POR,West,Northwest,0,547,533,500,3,7
1508907600,1,GS,West,Pacific,2,500,500,0,2,2,TOR,East,Atlantic,2,666,1000,0,2,2
1509771600,1,DET,East,Central,1,666,600,750,4,6,SAC,West,Pacific,2,125,200,200,0,1
1510293600,0,CHI,East,Central,3,222,333,250,1,2,IND,East,Central,2,416,333,285,1,4
1516773600,0,DET,East,Central,3,488,433,619,0,2,UTA,West,Northwest,1,404,440,208,2,3
1509166800,1,POR,West,Northwest,2,600,666,500,3,3,PHO,West,Pacific,3,400,400,0,2,2
1514786400,1,TOR,East,Atlantic,3,705,764,928,3,7,MIL,East,Central,2,558,411,437,3,5
1514872800,0,NY,East,Atlantic,3,500,409,714,1,5,SA,West,Southwest,3,675,650,444,3,6
1517551200,1,PHI,East,Atlantic,2,500,500,545,2,5,MIA,East,Southeast,2,568,625,571,2,5
1509080400,0,CHA,East,Southeast,2,500,333,1000,2,2,HOU,West,Southwest,2,800,750,1000,4,4
1512540000,1,MIL,East,Central,2,545,363,600,3,6,DET,East,Central,1,608,500,461,2,4
1513144800,0,PHO,West,Pacific,0,310,266,266,1,2,TOR,East,Atlantic,1,680,666,533,4,7
1512626400,0,UTA,West,Northwest,2,520,571,733,4,7,HOU,West,Southwest,4,818,818,909,5,9
1514959200,0,LAL,West,Pacific,2,305,217,333,0,1,OKC,West,Northwest,3,540,523,352,3,7
1511848800,1,UTA,West,Northwest,3,450,500,666,3,4,DEN,West,Northwest,4,578,500,333,3,6
1514354400,1,MIN,West,Northwest,1,617,750,647,4,7,DEN,West,Northwest,0,558,500,368,3,6
1511935200,1,HOU,West,Southwest,2,800,800,700,5,9,IND,East,Central,2,571,615,545,4,7
1512194400,0,POR,West,Northwest,2,590,666,583,3,7,NO,West,Southwest,1,500,466,500,2,5
1517551200,1,CHA,East,Southeast,1,420,392,500,2,5,IND,East,Central,2,557,593,458,4,7
1510639200,0,DAL,West,Southwest,2,142,100,142,1,2,SA,West,Southwest,3,615,750,400,4,5
1511071200,1,PHO,West,Pacific,1,352,363,300,2,3,CHI,East,Central,2,230,375,142,1,3
1511762400,0,NY,East,Atlantic,1,526,454,750,2,5,POR,West,Northwest,2,600,666,555,4,6
1511762400,1,HOU,West,Southwest,2,789,800,666,4,9,BKN,East,Atlantic,1,368,375,300,2,4
1512280800,0,LAL,West,Pacific,1,363,307,500,1,3,HOU,West,Southwest,4,809,800,900,5,9
1512885600,1,IND,East,Central,1,576,647,692,3,7,DEN,West,Northwest,1,560,428,307,3,5
1515477600,1,DAL,West,Southwest,2,317,320,363,2,5,ORL,East,Southeast,3,300,291,238,1,1
1518156000,0,SAC,West,Pacific,4,320,290,333,2,4,POR,West,Northwest,1,545,533,482,2,6
1508302800,1,MEM,West,Southwest,0,0,0,0,0,0,NO,West,Southwest,0,0,0,0,0,0
1509858000,0,LAC,West,Pacific,1,625,714,500,2,5,MIA,East,Southeast,1,375,600,0,1,3
1514354400,1,SAC,West,Pacific,0,333,411,384,2,4,CLE,East,Central,2,705,720,625,3,7
1517983200,0,MEM,West,Southwest,1,339,441,464,1,3,UTA,West,Northwest,2,471,517,344,5,8
1517464800,1,MIN,West,Northwest,2,592,727,769,1,4,MIL,East,Central,3,551,466,434,4,6
1517983200,1,CLE,East,Central,1,576,657,730,2,4,MIN,West,Northwest,3,607,735,428,3,5
1508994000,0,SAC,West,Pacific,3,250,250,0,1,1,NO,West,Southwest,2,250,250,333,1,1
1511676000,0,MEM,West,Southwest,1,388,500,400,0,2,BKN,East,Atlantic,1,333,375,222,1,3
1514008800,0,GS,West,Pacific,0,812,777,800,5,10,DEN,West,Northwest,0,531,444,333,2,4
1515564000,0,WAS,East,Southeast,3,575,523,650,4,7,UTA,West,Northwest,3,400,391,150,1,2
1517637600,1,IND,East,Central,1,547,575,642,3,6,PHI,East,Atlantic,0,510,520,461,2,6
1508994000,1,MEM,West,Southwest,0,750,750,1000,3,3,DAL,West,Southwest,0,200,250,0,1,1
1510725600,1,MIL,East,Central,2,538,375,571,3,5,DET,East,Central,3,769,750,600,5,8
1511330400,0,ATL,East,Southeast,1,176,90,166,1,2,LAC,West,Pacific,2,312,500,250,0,1
1508302800,1,DET,East,Central,0,0,0,0,0,0,CHA,East,Southeast,0,0,0,0,0,0
1509166800,0,LAC,West,Pacific,2,1000,1000,1000,4,4,DET,East,Central,3,600,500,500,3,3
1511330400,1,OKC,West,Northwest,2,437,200,714,3,4,GS,West,Pacific,3,764,750,777,4,9
1513749600,1,LAC,West,Pacific,2,379,411,461,2,3,PHO,West,Pacific,2,343,352,437,2,3
1517292000,1,SA,West,Southwest,2,634,666,840,3,5,DEN,West,Northwest,0,520,500,291,3,5
1513490400,1,DET,East,Central,1,551,500,615,2,3,ORL,East,Southeast,1,366,375,312,1,3
1515132000,1,DEN,West,Northwest,2,540,500,764,3,5,UTA,West,Northwest,2,421,409,166,1,3
1515736800,1,CHA,East,Southeast,2,384,333,476,3,5,UTA,West,Northwest,2,414,391,190,2,3
1516341600,0,UTA,West,Northwest,2,409,416,619,2,3,NY,East,Atlantic,2,444,384,238,1,3
1516600800,1,CHA,East,Southeast,2,409,375,480,3,6,SAC,West,Pacific,2,288,296,250,0,1
1512972000,1,GS,West,Pacific,3,777,692,727,5,8,POR,West,Northwest,2,520,571,600,1,5
1517983200,0,PHO,West,Pacific,1,327,363,321,1,2,SA,West,Southwest,4,618,633,444,2,5
1508302800,0,SAC,West,Pacific,0,0,0,0,0,0,HOU,West,Southwest,0,1000,1000,1000,1,1
1508475600,1,BKN,East,Atlantic,2,0,0,0,0,0,ORL,East,Southeast,2,1000,1000,0,1,1
1509512400,1,LAC,West,Pacific,2,666,800,500,3,4,DAL,West,Southwest,2,125,166,0,1,1
1511762400,1,IND,East,Central,1,550,583,555,4,6,ORL,East,Southeast,2,400,363,333,0,2
1514527200,0,SAC,West,Pacific,2,352,411,428,3,5,PHO,West,Pacific,3,361,380,411,3,4
1514700000,1,HOU,West,Southwest,2,735,736,722,0,5,LAL,West,Pacific,1,323,238,312,0,2
1515304800,1,POR,West,Northwest,1,526,473,473,3,5,SA,West,Southwest,2,675,666,450,3,7
1516773600,0,DAL,West,Southwest,1,340,285,400,2,4,HOU,West,Southwest,2,733,730,714,4,7
1510639200,0,BKN,East,Atlantic,2,384,500,600,2,3,BOS,East,Atlantic,2,857,800,857,5,10
1517205600,1,MIL,East,Central,1,541,448,640,3,5,PHI,East,Atlantic,1,521,545,500,3,7
1510725600,1,OKC,West,Northwest,3,461,250,666,2,5,CHI,East,Central,3,181,285,166,1,2
1515132000,1,SA,West,Southwest,2,666,650,894,3,7,PHO,West,Pacific,1,375,391,421,3,6
1515996000,0,CLE,East,Central,3,619,655,789,1,3,GS,West,Pacific,2,795,769,863,4,8
1510466400,0,IND,East,Central,1,461,428,600,1,5,HOU,West,Southwest,0,769,714,857,5,7
1511071200,0,BKN,East,Atlantic,1,400,428,571,2,3,GS,West,Pacific,0,750,750,750,4,8
1511589600,0,WAS,East,Southeast,3,555,600,555,2,6,POR,West,Northwest,0,578,666,500,3,6
1516600800,1,MIL,East,Central,2,511,407,608,1,4,PHO,West,Pacific,2,369,392,409,2,4
1516860000,1,DEN,West,Northwest,3,510,483,739,2,4,NY,East,Atlantic,1,437,384,250,2,3
1516946400,0,SA,West,Southwest,2,640,653,869,3,5,PHI,East,Atlantic,2,522,545,500,4,8
1509858000,0,ORL,East,Southeast,1,666,500,750,3,6,BOS,East,Atlantic,1,777,666,800,5,7
